,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,fortuna,1.0,US,1552618639.0,100.0,40.6,-124.16,51.8,10.29
1,manono,64.0,CD,1552618690.0,92.0,-7.3,27.4,71.3,2.98
2,jamestown,88.0,SH,1552618570.0,100.0,-15.94,-5.72,76.25,14.05
3,new norfolk,40.0,AU,1552618639.0,52.0,-42.78,147.06,68.0,13.87
4,cabedelo,20.0,BR,1552615200.0,94.0,-6.97,-34.84,78.8,5.82
5,chokurdakh,44.0,RU,1552618690.0,93.0,70.62,147.9,-7.64,2.42
6,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
7,vila franca do campo,75.0,PT,1552618654.0,76.0,37.72,-25.43,55.4,3.36
8,butaritari,92.0,KI,1552618691.0,100.0,3.07,172.79,78.77,14.94
9,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
10,cape town,0.0,ZA,1552618691.0,72.0,-33.93,18.42,69.01,10.29
11,saint george,75.0,BM,1552618035.0,59.0,32.38,-64.68,62.6,8.05
13,new norfolk,40.0,AU,1552618639.0,52.0,-42.78,147.06,68.0,13.87
14,road town,1.0,VG,1552618632.0,73.0,18.42,-64.62,77.0,4.7
16,mar del plata,92.0,AR,1552618691.0,95.0,-46.43,-67.52,54.2,7.45
18,kapaa,1.0,US,1552618410.0,65.0,22.08,-159.32,78.8,10.29
19,vardo,68.0,NO,1552618692.0,100.0,70.37,31.11,31.34,21.32
20,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
21,port elizabeth,75.0,ZA,1552615200.0,100.0,-33.92,25.57,68.0,6.93
22,hilo,90.0,US,1552618646.0,69.0,19.71,-155.08,75.2,6.93
23,kapaa,1.0,US,1552618410.0,65.0,22.08,-159.32,78.8,10.29
24,bandar,0.0,ID,1552618692.0,66.0,-4.2,104.14,87.68,6.11
25,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
26,andenes,56.0,NO,1552618200.0,79.0,69.31,16.12,26.6,3.36
27,pisco,0.0,PE,1552615200.0,78.0,-13.71,-76.2,73.4,16.11
28,cape town,0.0,ZA,1552618691.0,72.0,-33.93,18.42,69.01,10.29
29,hasaki,20.0,JP,1552618176.0,32.0,35.73,140.83,61.0,8.05
31,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
32,ribeira grande,0.0,PT,1552618693.0,99.0,38.52,-28.7,59.6,12.15
33,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
34,san patricio,5.0,MX,1552614000.0,73.0,19.22,-104.7,77.0,6.93
35,nome,1.0,US,1552618666.0,55.0,30.04,-94.42,68.0,6.93
37,gouyave,20.0,GD,1552615200.0,78.0,12.16,-61.73,78.8,12.75
38,qaanaaq,20.0,GL,1552618694.0,100.0,77.48,-69.36,-13.31,6.67
39,minbu,0.0,MM,1552618694.0,50.0,20.18,94.88,86.15,2.64
40,barrow,90.0,US,1552618686.0,70.0,39.51,-90.4,46.99,21.92
41,isangel,75.0,VU,1552615200.0,74.0,-19.55,169.27,87.8,9.17
42,hambantota,40.0,LK,1552615800.0,94.0,6.12,81.12,77.0,3.36
43,vaini,75.0,TO,1552615200.0,94.0,-21.2,-175.2,75.2,3.36
44,taywarah,20.0,AF,1552618695.0,68.0,33.35,64.42,15.23,2.19
45,cherskiy,64.0,RU,1552618695.0,65.0,68.75,161.3,-14.75,3.2
46,bracciano,0.0,IT,1552618686.0,93.0,42.1,12.17,48.0,2.24
47,ilulissat,24.0,GL,1552614600.0,65.0,69.22,-51.1,3.2,16.11
50,punta arenas,75.0,CL,1552618386.0,81.0,-53.16,-70.91,48.2,5.82
51,camaqua,88.0,BR,1552618696.0,77.0,-30.85,-51.81,70.85,2.53
52,carnarvon,88.0,AU,1552615200.0,78.0,-24.87,113.63,80.6,10.29
53,sept-iles,90.0,CA,1552618017.0,86.0,50.2,-66.38,30.0,8.05
54,ribeira grande,0.0,PT,1552618693.0,99.0,38.52,-28.7,59.6,12.15
55,bosaso,0.0,SO,1552618696.0,100.0,11.28,49.18,77.15,3.87
56,yellowknife,20.0,CA,1552618266.0,61.0,62.45,-114.38,15.8,11.41
57,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
58,bandarbeyla,92.0,SO,1552618696.0,100.0,9.49,50.81,76.88,8.12
59,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
60,tiksi,0.0,RU,1552618697.0,66.0,71.64,128.87,-9.35,3.98
61,ormara,0.0,PK,1552618697.0,89.0,25.21,64.64,66.98,5.99
62,kuragino,24.0,RU,1552618697.0,85.0,53.89,92.68,32.42,3.09
63,cape town,0.0,ZA,1552618691.0,72.0,-33.93,18.42,69.01,10.29
64,victoria,40.0,SC,1552615200.0,78.0,-4.62,55.45,82.4,6.93
65,mar del plata,92.0,AR,1552618691.0,95.0,-46.43,-67.52,54.2,7.45
66,new norfolk,40.0,AU,1552618639.0,52.0,-42.78,147.06,68.0,13.87
67,sibolga,12.0,ID,1552618697.0,86.0,1.74,98.78,77.69,0.85
68,praia da vitoria,75.0,PT,1552617987.0,87.0,38.73,-27.07,59.0,11.48
69,mar del plata,92.0,AR,1552618691.0,95.0,-46.43,-67.52,54.2,7.45
71,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
72,yellowknife,20.0,CA,1552618266.0,61.0,62.45,-114.38,15.8,11.41
73,vestmannaeyjar,92.0,IS,1552618402.0,100.0,63.44,-20.27,33.77,4.43
74,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
75,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
77,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
78,clyde river,90.0,CA,1552616040.0,83.0,70.47,-68.59,-7.61,6.93
79,tasiilaq,80.0,GL,1552614600.0,58.0,65.61,-37.64,24.8,3.36
80,thompson,90.0,CA,1552615200.0,79.0,55.74,-97.86,21.2,8.05
81,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
83,madridejos,20.0,PH,1552615200.0,58.0,9.79,123.35,86.0,11.41
84,hermanus,20.0,ZA,1552618149.0,85.0,-34.42,19.24,70.0,10.0
85,sisimiut,0.0,GL,1552618698.0,56.0,66.94,-53.67,-20.06,1.97
86,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
87,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
88,craigieburn,20.0,AU,1552618683.0,43.0,-37.6,144.94,77.0,17.22
89,ballina,0.0,AU,1552618476.0,48.0,-28.87,153.57,89.6,17.22
90,klaksvik,88.0,FO,1552618200.0,93.0,62.23,-6.59,35.6,9.13
92,moron,0.0,MN,1552618699.0,34.0,47.38,110.32,42.32,11.59
93,punta arenas,75.0,CL,1552618386.0,81.0,-53.16,-70.91,48.2,5.82
94,qaqortoq,0.0,GL,1552614600.0,52.0,60.72,-46.03,17.6,9.17
95,itacoatiara,0.0,BR,1552618699.0,78.0,-3.14,-58.44,80.21,5.21
96,kapaa,1.0,US,1552618410.0,65.0,22.08,-159.32,78.8,10.29
97,bluff,24.0,NZ,1552618206.0,60.0,-46.6,168.33,64.99,3.0
99,ribeira grande,0.0,PT,1552618693.0,99.0,38.52,-28.7,59.6,12.15
100,bambous virieux,20.0,MU,1552618444.0,78.0,-20.34,57.76,73.99,8.05
101,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
102,ostrovnoy,0.0,RU,1552618700.0,81.0,68.05,39.51,15.68,16.17
103,norman wells,75.0,CA,1552615200.0,56.0,65.28,-126.83,14.0,2.24
104,husavik,90.0,IS,1552615200.0,96.0,66.04,-17.34,32.0,4.7
105,buraydah,40.0,SA,1552615200.0,71.0,26.33,43.97,51.8,2.24
106,khatanga,80.0,RU,1552618701.0,81.0,71.98,102.47,5.69,8.57
107,jamestown,88.0,SH,1552618570.0,100.0,-15.94,-5.72,76.25,14.05
108,port elizabeth,75.0,ZA,1552615200.0,100.0,-33.92,25.57,68.0,6.93
109,gunjur,0.0,GM,1552615200.0,47.0,13.18,-16.76,75.2,8.05
110,taoudenni,0.0,ML,1552618701.0,20.0,22.68,-3.98,61.04,12.93
111,springbok,0.0,ZA,1552618701.0,83.0,-29.67,17.88,58.16,2.75
112,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
114,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
115,bredasdorp,80.0,ZA,1552617953.0,83.0,-34.53,20.04,71.6,8.05
117,mvuma,68.0,ZW,1552618702.0,95.0,-19.28,30.53,64.1,13.27
118,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
119,saskylakh,44.0,RU,1552618702.0,71.0,71.97,114.09,-10.88,11.81
120,bluff,24.0,NZ,1552618206.0,60.0,-46.6,168.33,64.99,3.0
121,cidreira,0.0,BR,1552618702.0,90.0,-30.17,-50.22,65.09,4.21
122,port elizabeth,75.0,ZA,1552615200.0,100.0,-33.92,25.57,68.0,6.93
123,jamestown,88.0,SH,1552618570.0,100.0,-15.94,-5.72,76.25,14.05
124,ancud,0.0,CL,1552615200.0,81.0,-41.87,-73.83,51.8,13.87
125,nichinan,75.0,JP,1552615200.0,50.0,31.65,131.31,55.4,4.7
126,kapaa,1.0,US,1552618410.0,65.0,22.08,-159.32,78.8,10.29
127,tasiilaq,80.0,GL,1552614600.0,58.0,65.61,-37.64,24.8,3.36
128,lebu,0.0,CL,1552618703.0,93.0,-37.62,-73.65,56.36,20.76
129,progreso,20.0,MX,1552618703.0,70.0,20.25,-99.19,62.57,4.32
130,castro,0.0,CL,1552615200.0,81.0,-42.48,-73.76,51.8,13.87
131,punta arenas,75.0,CL,1552618386.0,81.0,-53.16,-70.91,48.2,5.82
132,ozinki,12.0,RU,1552618703.0,74.0,51.2,49.73,12.17,2.98
134,cidreira,0.0,BR,1552618702.0,90.0,-30.17,-50.22,65.09,4.21
135,itarema,32.0,BR,1552618703.0,95.0,-2.92,-39.92,74.81,2.64
136,vaini,75.0,TO,1552615200.0,94.0,-21.2,-175.2,75.2,3.36
137,college station,1.0,US,1552618623.0,50.0,30.63,-96.33,60.8,4.7
138,whitehorse,75.0,CA,1552615200.0,40.0,60.72,-135.06,37.4,13.87
139,lagoa,0.0,PT,1552618628.0,36.0,37.14,-8.45,60.8,8.05
140,hilo,90.0,US,1552618646.0,69.0,19.71,-155.08,75.2,6.93
141,tasiilaq,80.0,GL,1552614600.0,58.0,65.61,-37.64,24.8,3.36
142,georgetown,48.0,SH,1552618704.0,99.0,-7.93,-14.42,82.01,14.5
143,cherskiy,64.0,RU,1552618695.0,65.0,68.75,161.3,-14.75,3.2
145,hobart,40.0,AU,1552618395.0,52.0,-42.88,147.33,68.0,12.75
146,shingu,0.0,JP,1552615200.0,37.0,33.72,135.99,53.6,4.7
147,namibe,48.0,AO,1552618704.0,100.0,-15.19,12.15,78.05,1.63
148,kaitangata,0.0,NZ,1552618679.0,71.0,-46.28,169.85,60.01,8.99
149,kirkuk,100.0,IQ,1552618705.0,98.0,35.47,44.4,49.79,4.43
150,nemuro,75.0,JP,1552615200.0,55.0,43.32,145.57,33.8,5.82
151,solnechnyy,76.0,RU,1552618705.0,80.0,50.72,136.64,31.97,4.43
152,mount isa,0.0,AU,1552615200.0,15.0,-20.73,139.49,96.8,12.75
153,longyearbyen,40.0,SJ,1552614600.0,71.0,78.22,15.64,3.2,2.24
154,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
156,saint-augustin,75.0,CA,1552618698.0,87.0,45.63,-73.98,46.0,3.36
157,bafra,40.0,TR,1552614600.0,93.0,41.57,35.91,37.4,1.12
158,avarua,88.0,CK,1552617000.0,74.0,-21.21,-159.78,82.4,16.11
159,nago,90.0,JP,1552618320.0,88.0,26.59,127.98,69.8,10.29
161,chuy,92.0,UY,1552618706.0,87.0,-33.69,-53.46,70.31,8.9
162,cayenne,75.0,GF,1552617000.0,94.0,4.94,-52.33,77.0,2.24
163,hilo,90.0,US,1552618646.0,69.0,19.71,-155.08,75.2,6.93
164,visnes,92.0,NO,1552618619.0,93.0,59.36,5.22,41.0,9.17
165,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
166,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
167,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
168,khatanga,80.0,RU,1552618701.0,81.0,71.98,102.47,5.69,8.57
169,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
170,teknaf,0.0,BD,1552618706.0,69.0,20.86,92.31,81.38,3.76
171,port alfred,92.0,ZA,1552618541.0,97.0,-33.59,26.89,68.0,3.0
172,vaini,75.0,TO,1552615200.0,94.0,-21.2,-175.2,75.2,3.36
173,punta arenas,75.0,CL,1552618386.0,81.0,-53.16,-70.91,48.2,5.82
174,new norfolk,40.0,AU,1552618639.0,52.0,-42.78,147.06,68.0,13.87
175,heze,0.0,CN,1552618707.0,33.0,35.25,115.45,57.98,7.23
176,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
177,leningradskiy,24.0,RU,1552618707.0,78.0,69.38,178.42,-12.32,6.89
178,chuy,92.0,UY,1552618706.0,87.0,-33.69,-53.46,70.31,8.9
179,cape town,0.0,ZA,1552618691.0,72.0,-33.93,18.42,69.01,10.29
180,arraial do cabo,36.0,BR,1552618707.0,94.0,-22.97,-42.02,78.32,6.44
181,ewa beach,90.0,US,1552618385.0,65.0,21.32,-158.01,82.4,11.41
182,pochutla,5.0,MX,1552618006.0,69.0,15.74,-96.47,84.0,10.29
183,bethel,20.0,US,1552618380.0,79.0,60.79,-161.76,28.4,11.41
185,santa helena,88.0,CO,1552618709.0,95.0,5.77,-74.03,62.75,2.98
186,lloro,75.0,CO,1552615200.0,94.0,5.5,-76.55,78.8,1.74
188,georgetown,48.0,SH,1552618704.0,99.0,-7.93,-14.42,82.01,14.5
189,qaqortoq,0.0,GL,1552614600.0,52.0,60.72,-46.03,17.6,9.17
190,norman wells,75.0,CA,1552615200.0,56.0,65.28,-126.83,14.0,2.24
191,castro,0.0,CL,1552615200.0,81.0,-42.48,-73.76,51.8,13.87
192,port elizabeth,75.0,ZA,1552615200.0,100.0,-33.92,25.57,68.0,6.93
193,hermanus,20.0,ZA,1552618149.0,85.0,-34.42,19.24,70.0,10.0
194,dongsheng,68.0,CN,1552618709.0,67.0,29.72,112.52,65.81,8.12
195,qaanaaq,20.0,GL,1552618694.0,100.0,77.48,-69.36,-13.31,6.67
197,terrace,75.0,CA,1552617480.0,93.0,54.52,-128.61,35.6,17.22
198,novobirilyussy,36.0,RU,1552618710.0,90.0,56.95,90.69,34.22,6.78
199,bambous virieux,20.0,MU,1552618444.0,78.0,-20.34,57.76,73.99,8.05
200,cartagena del chaira,24.0,CO,1552618710.0,98.0,1.33,-74.84,71.66,2.08
201,praia da vitoria,75.0,PT,1552617987.0,87.0,38.73,-27.07,59.0,11.48
202,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
203,punta arenas,75.0,CL,1552618386.0,81.0,-53.16,-70.91,48.2,5.82
204,tuy hoa,48.0,VN,1552618710.0,83.0,13.08,109.3,79.58,5.99
205,fortuna,1.0,US,1552618639.0,100.0,40.6,-124.16,51.8,10.29
206,port elizabeth,75.0,ZA,1552615200.0,100.0,-33.92,25.57,68.0,6.93
208,hami,0.0,CN,1552618710.0,45.0,42.84,93.51,44.66,5.88
209,lebu,0.0,CL,1552618703.0,93.0,-37.62,-73.65,56.36,20.76
210,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
212,vaini,75.0,TO,1552615200.0,94.0,-21.2,-175.2,75.2,3.36
213,kieta,92.0,PG,1552618711.0,100.0,-6.22,155.63,75.35,3.65
214,chichica,0.0,PA,1552618200.0,58.0,8.49,-82.16,59.0,5.99
215,burgersdorp,12.0,ZA,1552618711.0,81.0,-30.99,26.32,45.02,2.64
216,ribeira grande,0.0,PT,1552618693.0,99.0,38.52,-28.7,59.6,12.15
217,mar del plata,92.0,AR,1552618691.0,95.0,-46.43,-67.52,54.2,7.45
218,san patricio,5.0,MX,1552614000.0,73.0,19.22,-104.7,77.0,6.93
219,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
220,umm kaddadah,0.0,SD,1552618711.0,23.0,13.6,26.69,60.77,12.93
221,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
222,abengourou,20.0,CI,1552618712.0,84.0,6.73,-3.5,78.68,6.67
223,lalmohan,24.0,BD,1552618712.0,72.0,22.34,90.74,80.93,15.28
224,cidreira,0.0,BR,1552618702.0,90.0,-30.17,-50.22,65.09,4.21
225,nikolskoye,75.0,RU,1552618647.0,92.0,59.7,30.79,32.0,15.66
226,mount gambier,90.0,AU,1552615200.0,68.0,-37.83,140.78,64.4,8.05
227,dikson,56.0,RU,1552618712.0,100.0,73.51,80.55,3.8,14.38
228,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
229,tautira,40.0,PF,1552618382.0,70.0,-17.73,-149.15,84.2,5.82
230,yellowknife,20.0,CA,1552618266.0,61.0,62.45,-114.38,15.8,11.41
231,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
232,qaanaaq,20.0,GL,1552618694.0,100.0,77.48,-69.36,-13.31,6.67
233,yellowknife,20.0,CA,1552618266.0,61.0,62.45,-114.38,15.8,11.41
234,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
236,redmond,90.0,US,1552618571.0,53.0,47.67,-122.12,52.0,1.07
237,hobart,40.0,AU,1552618395.0,52.0,-42.88,147.33,68.0,12.75
238,waipawa,64.0,NZ,1552618636.0,68.0,-39.94,176.59,77.0,5.21
239,barrow,90.0,US,1552618686.0,70.0,39.51,-90.4,46.99,21.92
240,barrow,90.0,US,1552618686.0,70.0,39.51,-90.4,46.99,21.92
241,bluff,24.0,NZ,1552618206.0,60.0,-46.6,168.33,64.99,3.0
242,padang,5.0,ID,1552615200.0,74.0,-0.92,100.36,86.0,3.36
245,anadyr,90.0,RU,1552618387.0,84.0,64.73,177.51,5.0,17.9
246,torbay,5.0,CA,1552618406.0,79.0,47.66,-52.73,30.99,8.05
248,saskylakh,44.0,RU,1552618702.0,71.0,71.97,114.09,-10.88,11.81
249,tasiilaq,80.0,GL,1552614600.0,58.0,65.61,-37.64,24.8,3.36
250,kavaratti,0.0,IN,1552618714.0,100.0,10.57,72.64,82.82,6.78
252,pisco,0.0,PE,1552615200.0,78.0,-13.71,-76.2,73.4,16.11
253,bandarbeyla,92.0,SO,1552618696.0,100.0,9.49,50.81,76.88,8.12
254,tuktoyaktuk,90.0,CA,1552615200.0,76.0,69.44,-133.03,-5.81,20.8
255,jalu,0.0,LY,1552618715.0,89.0,29.03,21.55,49.61,9.57
256,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
257,pisco,0.0,PE,1552615200.0,78.0,-13.71,-76.2,73.4,16.11
258,pumiao,90.0,CN,1552615200.0,82.0,22.75,108.49,60.8,6.71
259,castro,0.0,CL,1552615200.0,81.0,-42.48,-73.76,51.8,13.87
260,east london,88.0,ZA,1552618715.0,100.0,-33.02,27.91,72.83,7.45
261,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
262,cuiluan,8.0,CN,1552618715.0,46.0,47.72,128.65,33.23,3.42
264,hobart,40.0,AU,1552618395.0,52.0,-42.88,147.33,68.0,12.75
265,cape town,0.0,ZA,1552618691.0,72.0,-33.93,18.42,69.01,10.29
266,kavieng,80.0,PG,1552618715.0,100.0,-2.57,150.8,81.38,8.12
267,hilo,90.0,US,1552618646.0,69.0,19.71,-155.08,75.2,6.93
269,bethel,20.0,US,1552618380.0,79.0,60.79,-161.76,28.4,11.41
271,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
273,eureka,1.0,US,1552618429.0,100.0,40.8,-124.16,51.8,10.29
274,saldanha,0.0,ZA,1552615200.0,82.0,-33.01,17.94,62.6,4.7
275,avarua,88.0,CK,1552617000.0,74.0,-21.21,-159.78,82.4,16.11
276,camacha,40.0,PT,1552617000.0,63.0,33.08,-16.33,60.8,9.17
277,castro,0.0,CL,1552615200.0,81.0,-42.48,-73.76,51.8,13.87
278,coihaique,0.0,CL,1552615200.0,66.0,-45.58,-72.07,53.6,10.29
279,torbay,5.0,CA,1552618406.0,79.0,47.66,-52.73,30.99,8.05
280,marsh harbour,0.0,BS,1552618717.0,100.0,26.54,-77.06,73.1,15.28
281,poum,8.0,NC,1552618717.0,100.0,-20.23,164.02,79.58,10.47
282,alofi,75.0,NU,1552615200.0,70.0,-19.06,-169.92,86.0,9.17
283,san carlos de bariloche,75.0,AR,1552615200.0,53.0,-41.13,-71.31,51.8,4.7
284,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
285,kyzyl-suu,0.0,KG,1552618717.0,100.0,42.34,78.0,28.73,5.66
286,hermanus,20.0,ZA,1552618149.0,85.0,-34.42,19.24,70.0,10.0
287,lompoc,1.0,US,1552618693.0,96.0,34.64,-120.46,55.4,3.65
288,saldanha,0.0,ZA,1552615200.0,82.0,-33.01,17.94,62.6,4.7
289,kostino,0.0,RU,1552618718.0,64.0,58.61,49.49,6.05,2.98
290,khatanga,80.0,RU,1552618701.0,81.0,71.98,102.47,5.69,8.57
291,barrow,90.0,US,1552618686.0,70.0,39.51,-90.4,46.99,21.92
292,inongo,12.0,CD,1552618718.0,93.0,-1.93,18.29,76.97,3.98
293,hermanus,20.0,ZA,1552618149.0,85.0,-34.42,19.24,70.0,10.0
294,aklavik,90.0,CA,1552615200.0,71.0,68.22,-135.01,5.0,9.17
