,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
295,hobart,40.0,AU,1552618395.0,52.0,-42.88,147.33,68.0,12.75
296,oum hadjer,0.0,TD,1552618718.0,30.0,13.3,19.7,67.43,6.22
297,qaanaaq,20.0,GL,1552618694.0,100.0,77.48,-69.36,-13.31,6.67
298,beira,92.0,MZ,1552618718.0,95.0,-19.84,34.84,74.72,30.15
299,hobart,40.0,AU,1552618395.0,52.0,-42.88,147.33,68.0,12.75
300,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
301,kapaa,1.0,US,1552618410.0,65.0,22.08,-159.32,78.8,10.29
302,albina,64.0,SR,1552618719.0,88.0,5.5,-54.05,76.7,3.42
303,bowen,40.0,AU,1552618690.0,62.0,-20.01,148.25,90.0,6.93
304,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
305,namatanai,92.0,PG,1552618719.0,100.0,-3.66,152.44,78.59,4.43
306,elko,1.0,US,1552618004.0,65.0,40.83,-115.76,32.0,6.93
307,khatanga,80.0,RU,1552618701.0,81.0,71.98,102.47,5.69,8.57
308,maraa,20.0,BR,1552618719.0,94.0,-1.83,-65.37,76.52,3.31
309,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
311,bredasdorp,80.0,ZA,1552617953.0,83.0,-34.53,20.04,71.6,8.05
312,georgetown,48.0,SH,1552618704.0,99.0,-7.93,-14.42,82.01,14.5
313,bathsheba,40.0,BB,1552615200.0,78.0,13.22,-59.52,77.0,12.75
314,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
315,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
316,jamestown,88.0,SH,1552618570.0,100.0,-15.94,-5.72,76.25,14.05
317,butaritari,92.0,KI,1552618691.0,100.0,3.07,172.79,78.77,14.94
319,souillac,20.0,MU,1552618444.0,78.0,-20.52,57.52,73.99,8.05
320,vaini,75.0,TO,1552615200.0,94.0,-21.2,-175.2,75.2,3.36
321,cape town,0.0,ZA,1552618691.0,72.0,-33.93,18.42,69.01,10.29
322,fare,48.0,PF,1552618720.0,100.0,-16.7,-151.02,79.31,5.32
323,warmbad,80.0,NA,1552618720.0,49.0,-28.45,18.73,70.13,3.65
324,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
325,lubbenau,75.0,DE,1552618544.0,81.0,51.87,13.97,43.0,17.22
326,salinas,32.0,EC,1552618721.0,100.0,0.49,-78.13,49.7,0.74
327,new norfolk,40.0,AU,1552618639.0,52.0,-42.78,147.06,68.0,13.87
328,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
329,port elizabeth,75.0,ZA,1552615200.0,100.0,-33.92,25.57,68.0,6.93
330,saint george,75.0,BM,1552618035.0,59.0,32.38,-64.68,62.6,8.05
331,ryotsu,40.0,JP,1552615200.0,70.0,38.08,138.43,44.6,12.75
332,micheweni,88.0,TZ,1552618721.0,100.0,-4.97,39.83,79.85,7.9
333,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
334,mar del plata,92.0,AR,1552618691.0,95.0,-46.43,-67.52,54.2,7.45
335,mehamn,32.0,NO,1552618721.0,88.0,71.03,27.85,25.13,12.26
336,souillac,20.0,MU,1552618444.0,78.0,-20.52,57.52,73.99,8.05
338,nanortalik,0.0,GL,1552618722.0,100.0,60.14,-45.24,19.28,19.3
339,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
340,saint-philippe,64.0,RE,1552618536.0,64.0,-21.36,55.77,75.2,6.93
342,east london,88.0,ZA,1552618715.0,100.0,-33.02,27.91,72.83,7.45
343,jamestown,88.0,SH,1552618570.0,100.0,-15.94,-5.72,76.25,14.05
345,avarua,88.0,CK,1552617000.0,74.0,-21.21,-159.78,82.4,16.11
347,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
348,port elizabeth,92.0,VC,1552618722.0,95.0,13.02,-61.23,78.05,14.27
349,cape town,0.0,ZA,1552618691.0,72.0,-33.93,18.42,69.01,10.29
350,hengyang,76.0,CN,1552618722.0,90.0,26.89,112.6,61.4,5.32
351,puerto ayora,0.0,EC,1552617934.0,84.0,-0.74,-90.35,75.99,1.01
352,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
355,qaanaaq,20.0,GL,1552618694.0,100.0,77.48,-69.36,-13.31,6.67
356,houston,75.0,CA,1552615200.0,48.0,54.4,-126.65,39.2,13.87
357,half moon bay,1.0,US,1552618711.0,87.0,37.46,-122.43,59.0,8.05
358,tasiilaq,80.0,GL,1552614600.0,58.0,65.61,-37.64,24.8,3.36
359,clyde river,90.0,CA,1552616040.0,83.0,70.47,-68.59,-7.61,6.93
360,harper,36.0,LR,1552618723.0,96.0,4.38,-7.71,84.17,9.8
361,faanui,32.0,PF,1552618723.0,100.0,-16.48,-151.75,83.27,11.81
362,knysna,48.0,ZA,1552615200.0,88.0,-34.04,23.05,66.2,8.05
363,thompson,90.0,CA,1552615200.0,79.0,55.74,-97.86,21.2,8.05
365,nemuro,75.0,JP,1552615200.0,55.0,43.32,145.57,33.8,5.82
366,faanui,32.0,PF,1552618723.0,100.0,-16.48,-151.75,83.27,11.81
367,cape town,0.0,ZA,1552618691.0,72.0,-33.93,18.42,69.01,10.29
369,harper,36.0,LR,1552618723.0,96.0,4.38,-7.71,84.17,9.8
370,esperance,0.0,AU,1552615200.0,53.0,-33.86,121.89,75.2,13.87
371,bluff,24.0,NZ,1552618206.0,60.0,-46.6,168.33,64.99,3.0
373,hithadhoo,0.0,MV,1552618724.0,100.0,-0.6,73.08,82.82,0.51
374,dikson,56.0,RU,1552618712.0,100.0,73.51,80.55,3.8,14.38
375,hermanus,20.0,ZA,1552618149.0,85.0,-34.42,19.24,70.0,10.0
376,provideniya,90.0,RU,1552617000.0,79.0,64.42,-173.23,21.2,20.13
377,mopipi,0.0,BW,1552618724.0,44.0,-21.2,24.86,71.48,13.04
379,upernavik,48.0,GL,1552618725.0,100.0,72.79,-56.15,0.2,3.76
380,hithadhoo,0.0,MV,1552618724.0,100.0,-0.6,73.08,82.82,0.51
381,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
385,carnarvon,88.0,AU,1552615200.0,78.0,-24.87,113.63,80.6,10.29
386,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
387,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
388,mar del plata,92.0,AR,1552618691.0,95.0,-46.43,-67.52,54.2,7.45
389,puerto ayora,0.0,EC,1552617934.0,84.0,-0.74,-90.35,75.99,1.01
390,gananoque,90.0,CA,1552618614.0,82.0,44.33,-76.16,53.6,4.7
391,nelson bay,75.0,AU,1552618439.0,69.0,-32.72,152.14,75.2,18.34
392,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
393,mar del plata,92.0,AR,1552618691.0,95.0,-46.43,-67.52,54.2,7.45
394,husavik,90.0,IS,1552615200.0,96.0,66.04,-17.34,32.0,4.7
396,manzhouli,76.0,CN,1552618726.0,39.0,49.6,117.43,26.93,9.8
398,avarua,88.0,CK,1552617000.0,74.0,-21.21,-159.78,82.4,16.11
399,new norfolk,40.0,AU,1552618639.0,52.0,-42.78,147.06,68.0,13.87
400,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
401,niamey,0.0,NE,1552615200.0,11.0,13.52,2.11,82.4,3.36
402,ancud,0.0,CL,1552615200.0,81.0,-41.87,-73.83,51.8,13.87
403,eregli,0.0,TR,1552618726.0,79.0,37.51,34.05,30.08,2.98
404,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
405,kaitangata,0.0,NZ,1552618679.0,71.0,-46.28,169.85,60.01,8.99
406,karpathos,92.0,GR,1552616400.0,67.0,35.51,27.21,59.0,20.8
407,nikolskoye,75.0,RU,1552618647.0,92.0,59.7,30.79,32.0,15.66
408,boyolangu,0.0,ID,1552618727.0,79.0,-8.09,111.9,83.9,7.23
409,lamu,88.0,KE,1552618727.0,87.0,-2.27,40.9,80.93,8.79
410,ukiah,0.0,US,1552618463.0,61.0,39.15,-123.21,53.01,3.0
411,butaritari,92.0,KI,1552618691.0,100.0,3.07,172.79,78.77,14.94
412,fort nelson,75.0,CA,1552615200.0,79.0,58.81,-122.69,32.0,2.08
413,saint-philippe,64.0,RE,1552618536.0,64.0,-21.36,55.77,75.2,6.93
415,nikolskoye,75.0,RU,1552618647.0,92.0,59.7,30.79,32.0,15.66
416,caravelas,0.0,BR,1552618727.0,100.0,-17.73,-39.27,83.36,20.98
417,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
418,sidi ali,0.0,DZ,1552618727.0,88.0,36.1,0.42,39.44,2.86
419,aanekoski,92.0,FI,1552618362.0,92.0,62.6,25.73,30.2,12.75
420,butaritari,92.0,KI,1552618691.0,100.0,3.07,172.79,78.77,14.94
421,chute-aux-outardes,75.0,CA,1552618658.0,86.0,49.12,-68.38,41.0,13.87
422,victoria,40.0,SC,1552615200.0,78.0,-4.62,55.45,82.4,6.93
423,swan river,88.0,CA,1552618728.0,83.0,52.11,-101.27,27.2,6.78
424,te anau,48.0,NZ,1552618728.0,50.0,-45.41,167.72,61.85,3.42
426,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
427,muzhi,0.0,RU,1552618728.0,60.0,65.4,64.7,4.79,7.78
428,hithadhoo,0.0,MV,1552618724.0,100.0,-0.6,73.08,82.82,0.51
429,cascais,0.0,PT,1552618563.0,71.0,38.7,-9.42,52.0,4.7
430,vao,32.0,NC,1552618729.0,100.0,-22.67,167.48,75.62,5.66
431,bhilwara,0.0,IN,1552618729.0,56.0,25.35,74.64,60.95,5.55
432,inhambane,76.0,MZ,1552618729.0,91.0,-23.87,35.38,80.03,16.84
434,lebu,0.0,CL,1552618703.0,93.0,-37.62,-73.65,56.36,20.76
435,xuddur,0.0,SO,1552618729.0,74.0,4.12,43.89,68.69,10.69
436,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
438,invermere,0.0,CA,1552618440.0,73.0,50.51,-116.03,28.99,1.01
440,mount isa,0.0,AU,1552615200.0,15.0,-20.73,139.49,96.8,12.75
441,tiksi,0.0,RU,1552618697.0,66.0,71.64,128.87,-9.35,3.98
442,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
443,vaini,75.0,TO,1552615200.0,94.0,-21.2,-175.2,75.2,3.36
444,new norfolk,40.0,AU,1552618639.0,52.0,-42.78,147.06,68.0,13.87
445,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
446,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
447,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
448,panama city,20.0,US,1552618555.0,83.0,30.16,-85.65,71.6,12.75
449,punta arenas,75.0,CL,1552618386.0,81.0,-53.16,-70.91,48.2,5.82
450,kichera,68.0,RU,1552618730.0,84.0,55.93,110.1,21.89,2.42
451,san cristobal,76.0,EC,1552618730.0,100.0,-1.02,-79.44,63.47,0.96
452,castro,0.0,CL,1552615200.0,81.0,-42.48,-73.76,51.8,13.87
453,mar del plata,92.0,AR,1552618691.0,95.0,-46.43,-67.52,54.2,7.45
454,meulaboh,80.0,ID,1552618477.0,100.0,4.14,96.13,80.48,3.53
455,el monte,0.0,CL,1552618723.0,55.0,-33.68,-70.98,71.01,14.99
456,cabo san lucas,5.0,MX,1552618514.0,77.0,22.89,-109.91,68.0,6.93
457,ribeira grande,0.0,PT,1552618693.0,99.0,38.52,-28.7,59.6,12.15
458,provideniya,90.0,RU,1552617000.0,79.0,64.42,-173.23,21.2,20.13
459,sayhat,0.0,SA,1552617000.0,73.0,26.49,50.04,69.8,14.99
460,ulaanbaatar,75.0,MN,1552617000.0,34.0,47.92,106.92,33.8,2.24
461,talnakh,56.0,RU,1552618731.0,84.0,69.49,88.39,4.52,15.05
462,langsa,8.0,ID,1552618731.0,92.0,4.47,97.97,80.3,1.74
463,avarua,88.0,CK,1552617000.0,74.0,-21.21,-159.78,82.4,16.11
464,saint george,75.0,BM,1552618035.0,59.0,32.38,-64.68,62.6,8.05
465,ruteng,44.0,ID,1552618731.0,89.0,-8.61,120.46,79.85,3.42
467,westport,92.0,NZ,1552618731.0,94.0,-41.75,171.6,62.48,4.65
468,port alfred,92.0,ZA,1552618541.0,97.0,-33.59,26.89,68.0,3.0
470,faanui,32.0,PF,1552618723.0,100.0,-16.48,-151.75,83.27,11.81
471,pacifica,1.0,US,1552618665.0,87.0,37.61,-122.49,57.99,8.05
472,lodja,44.0,CD,1552618732.0,88.0,-3.52,23.6,74.0,2.3
473,vaini,75.0,TO,1552615200.0,94.0,-21.2,-175.2,75.2,3.36
474,saint-philippe,64.0,RE,1552618536.0,64.0,-21.36,55.77,75.2,6.93
476,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
477,kibakwe,0.0,TZ,1552618732.0,92.0,-6.71,36.37,57.08,2.42
478,puerto ayora,0.0,EC,1552617934.0,84.0,-0.74,-90.35,75.99,1.01
479,ngunguru,20.0,NZ,1552617487.0,62.0,-35.62,174.5,75.0,5.99
480,provideniya,90.0,RU,1552617000.0,79.0,64.42,-173.23,21.2,20.13
481,tasiilaq,80.0,GL,1552614600.0,58.0,65.61,-37.64,24.8,3.36
482,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
483,broken hill,0.0,AU,1552615200.0,20.0,-31.97,141.45,77.0,12.75
484,hithadhoo,0.0,MV,1552618724.0,100.0,-0.6,73.08,82.82,0.51
485,tasiilaq,80.0,GL,1552614600.0,58.0,65.61,-37.64,24.8,3.36
486,hithadhoo,0.0,MV,1552618724.0,100.0,-0.6,73.08,82.82,0.51
487,sabang,8.0,ID,1552618733.0,100.0,1.17,120.82,82.01,4.32
489,haines junction,0.0,CA,1552618733.0,74.0,60.75,-137.51,21.89,5.21
490,rio gallegos,0.0,AR,1552615200.0,87.0,-51.62,-69.22,51.8,11.41
493,belyy yar,0.0,RU,1552617000.0,54.0,53.6,91.39,32.0,3.98
495,beloha,0.0,MG,1552618733.0,80.0,-25.17,45.06,70.22,10.13
498,yellowknife,20.0,CA,1552618266.0,61.0,62.45,-114.38,15.8,11.41
500,barrow,90.0,US,1552618686.0,70.0,39.51,-90.4,46.99,21.92
501,avarua,88.0,CK,1552617000.0,74.0,-21.21,-159.78,82.4,16.11
502,kolyvan,0.0,RU,1552617000.0,74.0,55.31,82.74,30.2,11.18
504,juneau,90.0,US,1552614960.0,86.0,58.3,-134.42,39.2,11.41
505,segovia,36.0,CO,1552618464.0,97.0,7.08,-74.7,71.12,1.52
506,iqaluit,5.0,CA,1552618361.0,69.0,63.75,-68.52,-9.01,3.36
507,saldanha,0.0,ZA,1552615200.0,82.0,-33.01,17.94,62.6,4.7
508,east london,88.0,ZA,1552618715.0,100.0,-33.02,27.91,72.83,7.45
509,qena,0.0,EG,1552615200.0,62.0,26.16,32.72,53.6,2.75
510,gorom-gorom,0.0,BF,1552618735.0,28.0,14.45,-0.24,73.28,10.13
511,kapaa,1.0,US,1552618410.0,65.0,22.08,-159.32,78.8,10.29
512,georgetown,48.0,SH,1552618704.0,99.0,-7.93,-14.42,82.01,14.5
513,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
516,yellowknife,20.0,CA,1552618266.0,61.0,62.45,-114.38,15.8,11.41
517,tasiilaq,80.0,GL,1552614600.0,58.0,65.61,-37.64,24.8,3.36
518,vaini,75.0,TO,1552615200.0,94.0,-21.2,-175.2,75.2,3.36
519,punta arenas,75.0,CL,1552618386.0,81.0,-53.16,-70.91,48.2,5.82
520,warmbad,80.0,NA,1552618720.0,49.0,-28.45,18.73,70.13,3.65
521,saint george,75.0,BM,1552618035.0,59.0,32.38,-64.68,62.6,8.05
522,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
523,kapaa,1.0,US,1552618410.0,65.0,22.08,-159.32,78.8,10.29
524,albanel,92.0,CA,1552618414.0,80.0,48.88,-72.44,36.0,8.79
525,butaritari,92.0,KI,1552618691.0,100.0,3.07,172.79,78.77,14.94
526,albany,0.0,AU,1552615200.0,60.0,-35.02,117.88,73.4,10.29
527,punta arenas,75.0,CL,1552618386.0,81.0,-53.16,-70.91,48.2,5.82
528,ziro,100.0,IN,1552618735.0,99.0,27.54,93.82,54.47,0.63
530,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
531,roma,56.0,AU,1552618736.0,29.0,-26.57,148.79,88.49,8.79
532,riyadh,0.0,SA,1552615200.0,38.0,24.63,46.72,59.0,11.41
533,port-cartier,90.0,CA,1552618017.0,86.0,50.03,-66.88,30.0,8.05
534,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
537,nishihara,1.0,JP,1552618715.0,27.0,35.74,139.53,64.0,12.75
538,ilulissat,24.0,GL,1552614600.0,65.0,69.22,-51.1,3.2,16.11
539,hilo,90.0,US,1552618646.0,69.0,19.71,-155.08,75.2,6.93
540,kharp,0.0,RU,1552618736.0,71.0,66.82,65.8,0.92,5.99
541,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
542,biak,56.0,ID,1552618737.0,77.0,-0.91,122.88,85.07,2.86
543,yar-sale,0.0,RU,1552618737.0,68.0,66.83,70.83,7.67,12.37
545,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
546,hilo,90.0,US,1552618646.0,69.0,19.71,-155.08,75.2,6.93
547,vaini,75.0,TO,1552615200.0,94.0,-21.2,-175.2,75.2,3.36
548,urucui,56.0,BR,1552618654.0,94.0,-7.23,-44.56,73.73,2.75
550,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
551,missao velha,40.0,BR,1552615200.0,88.0,-7.25,-39.14,75.2,4.7
552,xuddur,0.0,SO,1552618729.0,74.0,4.12,43.89,68.69,10.69
553,tasiilaq,80.0,GL,1552614600.0,58.0,65.61,-37.64,24.8,3.36
554,lac du bonnet,68.0,CA,1552618527.0,75.0,50.25,-96.06,25.0,8.01
555,jamestown,88.0,SH,1552618570.0,100.0,-15.94,-5.72,76.25,14.05
556,yerbogachen,92.0,RU,1552618738.0,80.0,61.28,108.01,32.24,7.9
557,avarua,88.0,CK,1552617000.0,74.0,-21.21,-159.78,82.4,16.11
558,kaitangata,0.0,NZ,1552618679.0,71.0,-46.28,169.85,60.01,8.99
559,ozinki,12.0,RU,1552618703.0,74.0,51.2,49.73,12.17,2.98
560,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
561,mantua,0.0,CU,1552618738.0,89.0,22.29,-84.28,73.55,3.31
562,kokkola,90.0,FI,1552618721.0,94.0,63.84,23.13,35.01,12.75
563,lavrentiya,64.0,RU,1552618738.0,100.0,65.58,-170.99,22.52,31.83
564,kodiak,90.0,US,1552618721.0,93.0,39.95,-94.76,37.4,23.04
565,ponta do sol,20.0,CV,1552615200.0,77.0,17.2,-25.09,69.8,8.05
567,abu dhabi,75.0,AE,1552617540.0,60.0,24.47,54.37,71.6,11.41
568,georgetown,48.0,SH,1552618704.0,99.0,-7.93,-14.42,82.01,14.5
569,victoria,40.0,SC,1552615200.0,78.0,-4.62,55.45,82.4,6.93
570,namibe,48.0,AO,1552618704.0,100.0,-15.19,12.15,78.05,1.63
571,praya,75.0,ID,1552618800.0,88.0,-8.71,116.27,78.8,3.36
572,tezu,92.0,IN,1552618739.0,80.0,27.93,96.16,62.12,0.63
573,ribeira brava,75.0,PT,1552618689.0,67.0,32.65,-17.07,60.8,8.05
574,longyearbyen,40.0,SJ,1552614600.0,71.0,78.22,15.64,3.2,2.24
576,litovko,8.0,RU,1552618739.0,73.0,49.24,135.18,35.3,3.2
577,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
578,tuktoyaktuk,90.0,CA,1552615200.0,76.0,69.44,-133.03,-5.81,20.8
579,new norfolk,40.0,AU,1552618639.0,52.0,-42.78,147.06,68.0,13.87
580,paita,44.0,PE,1552618740.0,83.0,-5.09,-81.11,76.07,4.99
581,kavieng,80.0,PG,1552618715.0,100.0,-2.57,150.8,81.38,8.12
582,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
583,verkhnevilyuysk,48.0,RU,1552618740.0,63.0,63.45,120.31,11.27,4.99
584,port hardy,90.0,CA,1552617660.0,93.0,50.7,-127.42,42.8,9.17
585,bluff,24.0,NZ,1552618206.0,60.0,-46.6,168.33,64.99,3.0
586,saint george,75.0,BM,1552618035.0,59.0,32.38,-64.68,62.6,8.05
587,nikolskoye,75.0,RU,1552618647.0,92.0,59.7,30.79,32.0,15.66
588,ilulissat,24.0,GL,1552614600.0,65.0,69.22,-51.1,3.2,16.11
589,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
590,tasiilaq,80.0,GL,1552614600.0,58.0,65.61,-37.64,24.8,3.36
591,lebu,0.0,CL,1552618703.0,93.0,-37.62,-73.65,56.36,20.76
592,guangyuan,92.0,CN,1552618692.0,46.0,32.43,105.86,59.0,0.18
593,vanderhoof,0.0,CA,1552618741.0,51.0,54.02,-124.02,31.88,7.56
594,souillac,20.0,MU,1552618444.0,78.0,-20.52,57.52,73.99,8.05
595,chuy,92.0,UY,1552618706.0,87.0,-33.69,-53.46,70.31,8.9
596,nabire,0.0,ID,1552618741.0,75.0,-3.36,135.5,81.83,2.64
597,bethel,20.0,US,1552618380.0,79.0,60.79,-161.76,28.4,11.41
598,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
599,tynda,12.0,RU,1552618741.0,56.0,55.15,124.74,21.8,3.65
